EventId,EventTemplate,Occurrences
b1bf6bd0,STARTUP_MSG:,16
a6ec12be,"registered UNIX signal handlers for [TERM, HUP, INT]",16
ca7d7941,loaded properties from hadoop-metrics2.properties,16
4dc89700,Scheduled snapshot period at <*> second(s).,16
ea28bb80,DataNode metrics system started,16
36c4eccc,Initialized block scanner with targetBytesPerSec <*>,16
ffd414e5,Configured hostname is mesos-slave-<*>,16
ace4c92c,Starting DataNode with maxLockedMemory = <*>,16
3d7fb32e,Opened <*> server at <*>,32
e1172ff0,Balancing bandwith is <*> bytes/s,16
54f5a3a6,Number threads for balancing is <*>,16
a79a1702,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,16
6c498ce4,"Unable to initialize FileSignerSecretProvider, falling back to use random secrets.",16
ae24104c,Http request log for http.requests.datanode is not defined,16
a8927e0e,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),16
2a05a0cf,Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context <*>,48
8aa20788,Jetty bound to port <*>,16
bc800f0e,jetty-<*>.<*>.<*>,16
28a5c1a3,Started HttpServer2$SelectChannelConnectorWithSafeStartup@localhost:<*>,16
c7c8b64d,Listening HTTP traffic on <*>,16
0dee5972,dnUserName = hdfs,16
f9a92d32,supergroup = <*>,16
916d4a74,Using callQueue class java.util.concurrent.LinkedBlockingQueue,16
70066a26,Starting Socket Reader #<*> for port <*>,16
bcb7be44,Refresh request received for nameservices: null,16
1418307a,Starting BPOfferServices for nameservices: <default>,16
5aaa3cec,Block pool <*> (Datanode Uuid <*> service to mesos-master-<*><*> <*> <*> <*> <*>,34
ccc17099,IPC Server Responder: starting,16
73b103d7,IPC Server listener on <*>: starting,16
fd985bbf,Lock on <*> acquired by nodename <*>@mesos-slave-<*>,16
65223769,Storage directory <*> is not formatted for BP-<*>-<*>-<*>,2
59b3f5f5,Formatting ...,4
2368a53b,Analyzing storage directories for bpid BP-<*>-<*>-<*>,16
2763a875,Locking is disabled for <*>,16
e2965de5,Block pool storage directory <*> is not formatted for BP-<*>-<*>-<*>,2
6312c53f,Formatting block pool BP-<*>-<*><*> directory <*>,2
969b5bfb,Restored <*> block files from trash.,16
108790b9,Setting up storage: <*>,16
7cbe50ca,Generated and persisted new Datanode UUID <*>,2
5b21022b,Added new volume: <*>,16
