EventTemplate,EventId,Occurrences
Acknowledging ACTIVE Namenode Block pool BP-<*>-<*><*> (Datanode Uuid <*> service to mesos-master-<*><*>,['311e765c'],431
Acknowledging ACTIVE Namenode Block pool BP-<*>-<*><*> (Datanode Uuid d9ef1b17-<*>-4cd8-91eb-095413c3427f) service to mesos-master-<*><*>,['f58cdbea'],6
Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context <*>,['2a05a0cf'],1320
Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),['a8927e0e'],440
Added new volume: <*>,['5b21022b'],431
Added new volume: DS-f790b728-1e6a-46a8-8ce4-f8d0038a603b,['653f5044'],6
"Added volume - /opt/hdfs/data/current, StorageType: DISK",['a70095b0'],6
Added volume - <*> StorageType: DISK,['7ca91e61'],431
Adding block pool BP-<*>-<*>-<*>,['91934b40'],437
Adding replicas to map for block pool BP-<*>-<*><*> on volume /opt/hdfs/data/current...,['1bfcefd6'],6
Adding replicas to map for block pool BP-<*>-<*><*> on volume <*>,['d79d59b9'],431
Analyzing storage directories for bpid BP-<*>-<*>-<*>,['2368a53b'],437
Balancing bandwith is <*> bytes/s,['e1172ff0'],440
Block pool <*> (Datanode Uuid <*> service to mesos-master-<*><*> <*> <*> <*> <*>,['5aaa3cec'],935
Block pool Block pool BP-<*>-<*><*> (Datanode Uuid <*> service to mesos-master-<*><*> successfully registered with NN,['5ef13d01'],489
Block pool Block pool BP-<*>-<*><*> (Datanode Uuid null) service to mesos-master-<*><*> successfully registered with NN,['58cad92a'],6
Block pool storage directory /opt/hdfs/data/current/BP-<*>-<*><*> is not formatted for BP-<*>-<*>-<*>,['af1a9acc'],1
Block pool storage directory /tmp/hadoop-hdfs/dfs/data/current/BP-<*>-<*><*> is not formatted for BP-<*>-<*>-<*>,['b542e430'],2
Block pool storage directory <*> is not formatted for BP-<*>-<*>-<*>,['e2965de5'],50
"BlockPool BP-<*>-<*><*> Total blocks: <*>, missing metadata files:<*>, missing block files:<*>, missing blocks in memory:<*>, mismatched blocks:<*>",['979bd337'],68470
Cached dfsUsed found for /opt/hdfs/data/current/BP-<*>-<*><*>/current: <*>,['f5063326'],245
Cached dfsUsed found for <*> <*>,['a9e867f9'],23
Can't replicate block BP-<*>-<*><*>:<*>_<*> because on-disk length <*> is shorter than NameNode recorded length <*>,['ca506fe8'],3
ChunkedInput.isEndOfInput() failed,['0ba81525'],2
Configured hostname is mesos-master-<*>,['30258917'],38
Configured hostname is mesos-slave-<*>,['ffd414e5'],402
Could not get disk usage information,['3a12fa6a'],2
DataNode metrics system started,['ea28bb80'],440
"DataNode{data=FSDataset{dirpath='[/opt/hdfs/data/current]'}, localName='mesos-master-<*>:<*>', datanodeUuid='d9ef1b17-<*>-4cd8-91eb-095413c3427f', xmitsInProgress=<*>}:Exception transfering block BP-<*>-<*><*>:<*>_<*> to mirror <*> java.net.SocketTimeoutException: <*> millis timeout while waiting for channel to be ready for read. ch : java.nio.channels.SocketChannel[connected local=<*> remote=<*>]",['a7bdb91b'],1
"DataNode{data=FSDataset{dirpath='[/opt/hdfs/data/current]'}, localName='mesos-slave-<*>:<*>', datanodeUuid='7fe0f580-2b25-40c8-b236-c5df5dd08ca7', xmitsInProgress=<*>}:Exception transfering block BP-<*>-<*><*>:<*>_<*> to mirror <*> java.net.SocketTimeoutException: <*> millis timeout while waiting for channel to be ready for read. ch : java.nio.channels.SocketChannel[connected local=<*> remote=<*>]",['b1d98bad'],1
DataTransfer: Transmitted BP-<*>-<*><*>:<*>_<*> (numBytes=<*>) to <*>,['c9b3b5cf'],528451
Datanode <*> forwarding connect ack to upstream firstbadlink is <*>,['15bddd6b'],1
Datanode <*> got response for connect ack from downstream datanode with firstbadlink as <*>,['53df285c'],1
DatanodeCommand action : DNA_REGISTER from mesos-master-<*><*> with active state,['d5bc1829'],58
"DatanodeRegistration(<*>, datanodeUuid=0cbb6590-6a63-4e8d-b6fc-68bf01abba58, infoPort=<*>, infoSecurePort=<*>, ipcPort=<*>, storageInfo=lv=<*>;cid=CID-254fec23-fa57-<*>-<*>-92d5cf14cc2e;nsid=<*>;c=<*>) Starting thread to transfer BP-<*>-<*><*>:<*>_<*> to <*>",['771608af'],24484
